OMIT_0030908	CEACAMP4
OMIT_0030909	CEACAMP6
OMIT_0030910	CEACAMP7
OMIT_0030911	CEACAMP8
OMIT_0030912	CEACAMP9
OMIT_0030913	CEACAMP10
OMIT_0030914	CHAD
OMIT_0030915	RCBTB2
OMIT_0030916	CHAT
OMIT_0030917	RCC1
OMIT_0030918	CHD1
OMIT_0030919	CHD2
OMIT_0030920	CHD3
OMIT_0030921	CHD4
OMIT_0030922	AKR1C4
OMIT_0030923	CHEK1
OMIT_0030924	FOXN3
OMIT_0030925	CHGA
OMIT_0030926	CHGB
OMIT_0030927	CHI3L1
OMIT_0030928	CHI3L2
OMIT_0030929	CHIT1
OMIT_0030930	CHKA
OMIT_0030931	CHKB
OMIT_0030932	CHM
OMIT_0030933	CHML
OMIT_0030934	CHN1
OMIT_0030935	CHN2
OMIT_0030936	CHR
OMIT_0030937	CHRM1
OMIT_0030938	CHRM2
OMIT_0030939	LYST
OMIT_0030940	CHRM3
OMIT_0030941	CHRM4
OMIT_0030942	CHRM5
OMIT_0030943	CHRNA1
OMIT_0030944	CHRNA2
OMIT_0030945	CHRNA3
OMIT_0030946	CHRNA4
OMIT_0030947	CHRNA5
OMIT_0030948	CHRNA7
OMIT_0030949	CHRNB1
OMIT_0030950	CHRNB2
OMIT_0030951	CHRNB3
OMIT_0030952	CHRNB4
